source,source_id,company,title,url,initial_decision,final_decision,verification_status,confidence,florida_eligible,remote_status,employment_type,salary_min,salary_max,travel_percentage,clearance_required,sponsorship_status,evidence,unresolved,verified_at
lever,b9e713c9-901d-4add-8fb2-63f956e9a570,Agile Defense,IT Customer Service Technician,https://jobs.lever.co/agile-defense/b9e713c9-901d-4add-8fb2-63f956e9a570,verify,verify,partial,0.63,,remote,contract,,,10,True,,Posting indicates non-full-time employment. | Posting states up to 10% travel. | Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.887566+00:00
lever,ac98c83d-6fed-423f-934f-044deeae71e6,Agile Defense,"IT Project Lead, SME",https://jobs.lever.co/agile-defense/ac98c83d-6fed-423f-934f-044deeae71e6,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.888701+00:00
lever,b7bf2a2e-2e85-4116-92da-470eb4be3672,Agile Defense,Java Developer,https://jobs.lever.co/agile-defense/b7bf2a2e-2e85-4116-92da-470eb4be3672,verify,verify,partial,0.59,,hybrid,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.889455+00:00
lever,889e466e-8060-4506-ae32-fc4d59ddf487,Agile Defense,Lead Product Manager,https://jobs.lever.co/agile-defense/889e466e-8060-4506-ae32-fc4d59ddf487,verify,verify,partial,0.59,,onsite,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.890458+00:00
lever,c75371eb-f9a0-4b99-bbae-18e42381445a,Agile Defense,Linux Systems Engineer,https://jobs.lever.co/agile-defense/c75371eb-f9a0-4b99-bbae-18e42381445a,verify,verify,partial,0.59,,hybrid,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.891843+00:00
lever,d03b0223-99a4-4937-b508-6e71fffc118f,Agile Defense,"Mobility Analysts, Mobility Engineers, VTC Analysts & Senior VTC Engineers (CBP)",https://jobs.lever.co/agile-defense/d03b0223-99a4-4937-b508-6e71fffc118f,verify,verify,unresolved,0.57,,remote,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.893348+00:00
lever,49bfefa5-b6f6-49fd-9548-cea453483eb7,Agile Defense,MSS Developer,https://jobs.lever.co/agile-defense/49bfefa5-b6f6-49fd-9548-cea453483eb7,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.894422+00:00
lever,857da9ba-80c8-4155-b659-a28390fa524a,Agile Defense,Network Design Engineer Lead,https://jobs.lever.co/agile-defense/857da9ba-80c8-4155-b659-a28390fa524a,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.895490+00:00
lever,ff7ab5d9-ae09-4870-a82a-72d230c612c3,Agile Defense,"Network Engineers, Senior Engineers & Architects (CBP)",https://jobs.lever.co/agile-defense/ff7ab5d9-ae09-4870-a82a-72d230c612c3,verify,verify,unresolved,0.69,,hybrid,regular,90000,150000,,,,,florida_eligibility | employment_type,2026-08-31T12:36:58.897156+00:00
lever,439243a2-68e7-4b36-90c9-649ef7512550,Agile Defense,Network Installation Specialist - Journeyman,https://jobs.lever.co/agile-defense/439243a2-68e7-4b36-90c9-649ef7512550,verify,verify,partial,0.61,,remote,regular,,,90,True,,Posting states up to 90% travel. | Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.898058+00:00
lever,efd8c148-801f-48cd-b44a-1856ff7b8870,Agile Defense,Networks Plans & Programs Level 2,https://jobs.lever.co/agile-defense/efd8c148-801f-48cd-b44a-1856ff7b8870,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.898987+00:00
lever,ae305bc6-4d94-4e35-83cb-c6cb3eea211d,Agile Defense,Penetration Tester III,https://jobs.lever.co/agile-defense/ae305bc6-4d94-4e35-83cb-c6cb3eea211d,verify,verify,partial,0.61,,hybrid,contract,,,,True,,Posting indicates non-full-time employment. | Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.900485+00:00
lever,8f196201-7696-436c-924c-798b5c91f7ed,Agile Defense,Platform DevOps Engineer,https://jobs.lever.co/agile-defense/8f196201-7696-436c-924c-798b5c91f7ed,verify,verify,partial,0.59,,onsite,regular,,,,True,,Posting requires or references a security clearance.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.901929+00:00
lever,5ecb63bd-5d57-451a-ab8f-eadce294630a,Agile Defense,Procurement Compliance Manager,https://jobs.lever.co/agile-defense/5ecb63bd-5d57-451a-ab8f-eadce294630a,verify,verify,partial,0.59,,remote,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.903076+00:00
lever,83a51c9b-1ace-4e39-9583-731f706c7e2e,Agile Defense,Product Owner - CDAO,https://jobs.lever.co/agile-defense/83a51c9b-1ace-4e39-9583-731f706c7e2e,verify,verify,unresolved,0.57,,onsite,regular,,,,,,,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.904105+00:00
lever,ee058543-184a-4d95-b004-fef4e42b62a7,Agile Defense,Program Manager,https://jobs.lever.co/agile-defense/ee058543-184a-4d95-b004-fef4e42b62a7,verify,verify,partial,0.59,,onsite,contract,,,,,,Posting indicates non-full-time employment.,florida_eligibility | employment_type | compensation,2026-08-31T12:36:58.905143+00:00
